"Inkomen van huishoudens; huishoudenskenmerken, regio (indeling 2024)";;;;;;
Populatie: Particuliere huishoudens incl. studenten;;;;;;
Kenmerken van huishoudens: Particuliere huishoudens;;;;;;
Perioden: 2021;;;;;;
;Onderwerp;;;;;
;Particuliere huishoudens;Particuliere huishoudens relatief;Inkomen|Gemiddeld gestandaardiseerd inkomen;Inkomen|Mediaan gestandaardiseerd inkomen;Inkomen|Gemiddeld besteedbaar inkomen;Inkomen|Mediaan besteedbaar inkomen
Regio's;x 1 000;%;1 000 euro;1 000 euro;1 000 euro;1 000 euro
Nederland;7951,4;100;33,6;30;48,5;39,7
Groningen (PV);289,9;100;28,9;26,3;40,3;33,1
Fryslân (PV);294,2;100;30,8;28,3;44,3;37,6
Drenthe (PV);219,7;100;32,3;29,6;46,9;40,1
Overijssel (PV);508;100;32,1;29,4;47,3;40
Flevoland (PV);177,8;100;33,1;30,5;49,3;43,2
Gelderland (PV);930,3;100;33,1;30,1;48,3;40,7
Utrecht (PV);608,4;100;36,2;32,3;52,8;43,4
Noord-Holland (PV);1362;100;36;30,6;51;39,5
Zuid-Holland (PV);1704,9;100;33,6;29,9;48,2;39
Zeeland (PV);176;100;33,1;30;47,4;39,9
Noord-Brabant (PV);1156,5;100;34,1;30,7;49,6;41,4
Limburg (PV);523,7;100;31,6;28,7;44,8;37,4
Amsterdam;470,9;100;35,1;27,6;46,9;33,4
's-Gravenhage (gemeente);262;100;32,1;27,4;44,9;34,3
Rotterdam;322,2;100;30,1;25,6;41,3;32
Utrecht (gemeente);178,2;100;33,1;30;46,2;36,5
Bron: CBS;;;;;;
;;;;;;
2022;Onderwerp;;;;;
;Particuliere huishoudens;Particuliere huishoudens relatief;Inkomen|Gemiddeld gestandaardiseerd inkomen;Inkomen|Mediaan gestandaardiseerd inkomen;Inkomen|Gemiddeld besteedbaar inkomen;Inkomen|Mediaan besteedbaar inkomen
Regio's;x 1 000;%;1 000 euro;1 000 euro;1 000 euro;1 000 euro
Nederland;8041,4;100;35,6;31,7;51,2;41,7
Groningen (PV);292,4;100;30,3;27,7;42,1;34,7
Fryslân (PV);297;100;32,6;29,8;46,9;39,4
Drenthe (PV);221,4;100;34,1;31,2;49,4;42,1
Overijssel (PV);512,6;100;34;31;50;42
Flevoland (PV);181,9;100;35;32,4;52,1;45,7
Gelderland (PV);940;100;35;31,7;51,1;42,8
Utrecht (PV);614,3;100;38,2;34,1;55,7;45,7
Noord-Holland (PV);1379,1;100;38,1;32,4;53,9;41,6
Zuid-Holland (PV);1725,4;100;35,6;31,5;51,1;41
Zeeland (PV);177,3;100;34,8;31,6;49,7;41,7
Noord-Brabant (PV);1171,1;100;36;32,4;52,3;43,4
Limburg (PV);528,8;100;33,2;30,1;47,1;39
Amsterdam;479,5;100;37,4;29,4;49,9;35,3
's-Gravenhage (gemeente);266,4;100;34;29,1;47,3;36
Rotterdam;326,4;100;32;27,3;43,8;33,8
Utrecht (gemeente);179,7;100;35,1;31,6;49;38,3
Bron: CBS;;;;;;
;;;;;;
;;;;;;
Perioden: 2023*;;;;;;
;Onderwerp;;;;;
;Particuliere huishoudens;Particuliere huishoudens relatief;Inkomen|Gemiddeld gestandaardiseerd inkomen;Inkomen|Mediaan gestandaardiseerd inkomen;Inkomen|Gemiddeld besteedbaar inkomen;Inkomen|Mediaan besteedbaar inkomen
Regio's;x 1 000;%;1 000 euro;1 000 euro;1 000 euro;1 000 euro
Nederland;8156,9;100;38,3;34;55;44,6
Groningen (PV);294,7;100;32,8;30,1;45,5;37,4
Fryslân (PV);299,9;100;35,1;32,2;50,4;42,2
Drenthe (PV);223,9;100;36,6;33,6;53,1;45,2
Overijssel (PV);518,8;100;36,6;33,5;53,9;45,1
Flevoland (PV);186,6;100;37,6;34,8;55,8;49
Gelderland (PV);951,9;100;37,7;34,1;55;45,9
Utrecht (PV);624;100;41,1;36,5;59,8;48,6
Noord-Holland (PV);1403,2;100;40,9;34,7;57,7;44,3
Zuid-Holland (PV);1751;100;38,3;33,9;54,8;43,8
Zeeland (PV);179,7;100;37,1;33,8;53;44,5
Noord-Brabant (PV);1188,5;100;38,7;34,8;56,3;46,4
Limburg (PV);534,7;100;35,7;32,5;50,5;41,7
Amsterdam;489,2;100;40,1;31,7;53,2;37,7
's-Gravenhage (gemeente);271,6;100;36,4;31,4;50,4;38,5
Rotterdam;329,8;100;34,4;29,7;47,1;36,4
Utrecht (gemeente);183,4;100;37,5;33,9;52,2;40,7
Bron: CBS;;;;;;
